City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
316,bonthe,7.5264,-12.505,299.44,83,78,1.81,SL,1697668136
317,jumla,29.2747,82.1838,278.05,73,4,2.19,NP,1697668136
318,tymovskoye,50.8456,142.655,282.92,81,100,2.03,RU,1697668136
319,antonio enes,-16.2325,39.9086,298.72,84,68,2.3,MZ,1697668136
320,iranshahr,27.2025,60.6848,298.57,51,2,0.44,IR,1697668136
321,lhasa,29.65,91.1,275.89,65,22,2.21,CN,1697668136
322,bel ombre,-4.6167,55.4167,300.06,78,40,5.14,SC,1697668137
323,sisimiut,66.9395,-53.6735,268.5,82,100,6.56,GL,1697668137
324,tazacorte,28.629,-17.9293,296.69,78,0,2.57,ES,1697668137
325,mount pearl,47.5166,-52.7813,281.11,84,75,4.12,CA,1697668018
326,zag,46.9441,99.165,272.93,68,7,2.15,MN,1697668137
327,inirida,3.8653,-67.9239,300.57,80,73,1.38,CO,1697668137
328,prince rupert,54.3161,-130.3201,286.2,82,100,14.4,CA,1697668017
329,ebon,4.582,168.6964,300.82,79,100,10.43,MH,1697668137
330,sudak,44.85,34.9667,281.89,72,3,1.99,UA,1697668137
331,newtown,-33.8984,151.1775,292.06,75,75,3.6,AU,1697668137
332,kapuskasing,49.4169,-82.4331,284.2,66,75,2.57,CA,1697667842
333,san rafael del yuma,18.4299,-68.6739,302.91,74,39,3.07,DO,1697668137
334,khandyga,62.6667,135.6,268.39,97,100,1.96,RU,1697668137
335,ermoupolis,37.4423,24.9425,291.91,77,17,3.6,GR,1697668137
336,ketchikan,55.3422,-131.6461,286.14,94,100,7.72,US,1697668137
337,port lincoln,-34.7333,135.8667,292.18,39,41,3.06,AU,1697668137
338,kuragino,53.8975,92.6725,278.01,90,5,1.79,RU,1697668138
339,rumuruti,0.267,36.5389,289.64,80,77,4.48,KE,1697668138
340,sao borja,-28.6606,-56.0044,290.9,94,99,5.39,BR,1697668138
341,juruti,-2.1522,-56.0922,301.31,68,80,1.07,BR,1697668138
342,sumbawa besar,-8.5,117.4333,295.44,72,92,2.09,ID,1697668138
343,niquero,20.0431,-77.5828,302.13,70,100,0.95,CU,1697668138
344,pandan,14.0453,124.1694,299.73,88,94,2.59,PH,1697668138
345,san jose,37.3394,-121.895,307.86,34,0,29.5,US,1697667465
346,tsengel,49.4783,100.8894,273.81,72,1,1.83,MN,1697668138
347,hasaki,35.7333,140.8333,290.37,66,41,5.37,JP,1697668036
348,piterka,50.6803,47.4454,278.95,52,43,4.26,RU,1697668138
349,general villegas,-35.0328,-63.0125,283.89,82,100,2.37,AR,1697668138
350,launceston,-41.45,147.1667,286.57,76,49,2.57,AU,1697668138
351,sandnessjoen,66.0217,12.6316,269.44,66,0,5.06,NO,1697668138
352,nikolayevsk-on-amure,53.1406,140.73,278.35,97,100,0.79,RU,1697668138
353,kargopol',61.5071,38.9456,277.62,77,100,5.81,RU,1697668138
354,vail,32.0479,-110.712,308.26,15,2,0.45,US,1697668138
355,burang,30.25,81.1667,270.91,60,11,1.39,CN,1697668138
356,ponta delgada,37.7333,-25.6667,297.14,88,75,11.83,PT,1697668139
357,al kharj,24.155,47.3346,300.47,32,0,3.78,SA,1697668139
358,selfoss,63.9331,-20.9971,282.06,80,100,11.15,IS,1697668061
359,weno,7.4515,151.8468,302.12,79,20,1.54,FM,1697668139
360,ulladulla,-35.35,150.4667,290.24,58,1,2.82,AU,1697668139
361,blackwater,-23.5833,148.8833,295.76,94,42,4.9,AU,1697668139
362,kalkaman,51.9525,76.0211,282.99,42,45,4.19,KZ,1697668139
363,verkhovazh'ye,60.7472,42.0465,275.45,90,99,3.7,RU,1697668139
